"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"2382","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","UPADHYAY TRADERS","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","25-Jan-2025","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136694","7,19,206"
"2383","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","UPADHYAY TRADERS","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","08-May-2025","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136694","2,78,861"
"2384","Rajasthan","Construction of rooms and halls in school and colleges","Uday Singh","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","28-Dec-2024","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/140182","3,990"
"2385","Rajasthan","Construction of common work sheds/ common covered sitting area","KULDEVI TRADERS","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","16-Feb-2026","BANSWARA(ST)","Payment Success","WS/MP18313/2024-2025/140373","1,57,148"
"2386","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","bhikam katara","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","28-Nov-2024","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138083","4,27,858"
"2387","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","gram panchayat ekta","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","28-Nov-2024","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138083","55,922"
"2388","Rajasthan","Installing hand pumps","SAWARIYA SETH","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","22-Aug-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138095","1,42,195"
"2389","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","SHREE CHAUDHARY CONTRACTOR","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","05-Feb-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138076","1,65,072"
"2390","West Bengal","Lighting of public spaces","SN ENTERPRISE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","25-Sep-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/139941","3,75,656"
"2391","West Bengal","Lighting of public spaces","HSD ASSOCIATE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","09-Jun-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/140491","3,77,924"
"2392","West Bengal","Lighting of public spaces","HSD ASSOCIATE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","29-May-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/140492","3,77,924"
"2393","West Bengal","Lighting of public spaces","HSD ASSOCIATE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","29-May-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/139940","3,77,924"
"2394","West Bengal","Lighting of public spaces","HSD ASSOCIATE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","04-Jun-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/138740","3,77,924"
"2395","West Bengal","Lighting of public spaces","HSD ASSOCIATE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","29-May-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/138938","3,77,924"
"2396","West Bengal","Lighting of public spaces","BENGAL ASSOCIATE","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","04-Jun-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/140489","3,77,848"
"2397","West Bengal","Purchase of ambulances (Four, three and two wheelers)","Samui Engineering and Construction","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","19-Dec-2025","ARAMBAG(SC)","Payment Success","WS/MP18245/2024-2025/140126","14,20,000"
"2398","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","Gram Panchayat Nani Sanjeli","DOHAD(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","28-May-2025","DAHOD(ST)","Payment Success","WS/MP577/2024-2025/138727","5,00,000"
"2399","Madhya Pradesh","Purchase Books for Library","PRATIBHA PRATISHTHAN","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137838","1,00,000"
"2400","Madhya Pradesh","Purchase Books for Library","PRATIBHA PRATISHTHAN","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137827","1,00,000"
"2401","Madhya Pradesh","Purchase Books for Library","PRATIBHA PRATISHTHAN","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137832","1,00,000"
"2402","Madhya Pradesh","Purchase Books for Library","PRATIBHA PRATISHTHAN","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137840","1,00,000"
"2403","Uttar Pradesh","Lighting of public spaces","ANUSHKA CONSTRUCTION SUPPLIERS","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Jai Prakash","04-Jul-2025","HARDOI (SC)","Payment Success","WS/MP792/2024-2025/140292","29,22,912"
"2404","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","CEO JANPAD PANCHAYAT MANDSAUR","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","16-Jan-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/140603","3,00,000"
"2405","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","Dharmendra Naik","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","19-Mar-2025","KALAHANDI","Payment Success","WS/MP18144/2024-2025/141595","3,98,291"
"2406","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","Guru Prasad Podh","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","03-Apr-2025","KALAHANDI","Payment Success","WS/MP18144/2024-2025/141602","5,00,000"
"2407","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","GOUTAM KARUAN","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","21-Feb-2025","KALAHANDI","Payment Success","WS/MP18144/2024-2025/141589","3,00,000"
"2408","Chhattisgarh","Purchase of IT systems, including hardware and software for educational purposes","Bagalamukhi Enterprises Private Limited","SURGUJA(Collector Surguja_IDA)","CHINTAMANI MAHARAJ","23-Jan-2025","SARGUJA(ST)","Payment Success","WS/MP18354/2024-2025/138486","5,00,000"
